name,Id,location,score,length,start,end,Floor,Area,ZX,ZY,length
,252,42629.05,,3.596993333,42625.45301,42632.64699,2,539.549,116.3971901,39.84564505,10.79098
,253,42672.8259,,7.7416,42665.0843,42680.5675,1,2322.48,116.3976525,39.84568883,23.2248
,254,42693.9581,,3.25128,42690.70682,42697.20938,2,487.692,116.3979942,39.84570996,9.75384
,255,42740.5691,,39.1392,42701.4299,42779.7083,18,652.32,116.3893767,39.84575657,117.4176
,256,42762.75,,7.00709,42755.74291,42769.75709,3,700.709,116.3856692,39.84577875,21.02127
,257,42769.3905,,9.43398,42759.95652,42778.82448,6,471.699,116.3867035,39.84578539,28.30194
,258,42807.2482,,3.39884,42803.84936,42810.64704,2,509.826,116.3971566,39.84582325,10.19652
,259,42974.8479,,3.79142,42971.05648,42978.63932,2,568.713,116.3971376,39.84599085,11.37426
,260,43027.4,,6.257426667,43021.14257,43033.65743,2,938.614,116.3979389,39.8460434,18.77228
,261,43083.1277,,5.641,43077.4867,43088.7687,3,564.1,116.3872933,39.84609913,16.923
,262,43114.3755,,10.6043,43103.7712,43124.9798,3,1060.43,116.3863653,39.84613038,31.8129
,263,43119.4468,,9.8975,43109.5493,43129.3443,6,494.875,116.3867267,39.84613545,29.6925
,264,43153.55,,3.515653333,43150.03435,43157.06565,2,527.348,116.3971101,39.84616955,10.54696
,265,43214.8257,,40.9146,43173.9111,43255.7403,18,681.91,116.3855743,39.84623083,122.7438
,266,43321.6719,,3.526426667,43318.14547,43325.19833,2,528.964,116.3970801,39.84633767,10.57928
,267,43405.7774,,13.9317,43391.8457,43419.7091,3,1393.17,116.3975352,39.84642178,41.7951
,268,43421.1806,,16.29504,43404.88556,43437.47564,6,814.752,116.3869078,39.84643718,48.88512
,269,43496.25,,7.2554,43488.9946,43503.5054,2,1088.31,116.3978585,39.84651225,21.7662
,270,43501.4719,,3.213413333,43498.25849,43504.68531,2,482.012,116.3970514,39.84651747,9.64024
,271,43641.2637,,2.819613333,43638.44409,43644.08331,2,422.942,116.396987,39.84665726,8.45884
,272,43684.2257,,0.357098667,43683.8686,43684.5828,2,53.5648,116.3966548,39.84670023,1.071296
,273,43727.0071,,37.12104,43689.88606,43764.12814,18,618.684,116.3876652,39.84674301,111.36312
,274,43802.8685,,2.14954,43800.71896,43805.01804,1,644.862,116.3983234,39.84681887,6.44862
,275,43812.4209,,3.9061,43808.5148,43816.327,2,585.915,116.3969636,39.84682842,11.7183
